Game ID,Week,Date,Time (EST),Location,Home Team,Away Team,Home Score,Away Score,Total Points,Home Total Yards,Away Total Yards,Total Yards,Home Rushing Attempts,Home Rushing Yards,Home Longest Rush,Home Rushing TDs,Home Fumbles,Home Pass Attempts,Home Pass Completions,Home Passing Yards,Home Longest Pass,Home QB Rating,Home Passing TDs,Home Interceptions,Home First Downs,Home Punts,Home FG Attempts,Home FG Made,Home FG Pct,Home FG Att 1-19,Home FG Made 1-19,Home FG Pct 1-19,Home FG Att 20-29,Home FG Made 20-29,Home FG Pct 20-29,Home FG Att 30-39,Home FG Made 30-39,Home FG Pct 30-39,Home FG Att 40-49,Home FG Made 40-49,Home FG Pct 40-49,Home FG Att 50+,Home FG Made 50+,Home FG Pct 50+,Away Rushing Attempts,Away Rushing Yards,Away Longest Rush,Away Rushing TDs,Away Fumbles,Away Pass Attempts,Away Pass Completions,Away Passing Yards,Away Longest Pass,Away QB Rating,Away Passing TDs,Away Interceptions,Away Punts,Away First Downs,Away FG Attempts,Away FG Made,Away FG Pct,Away FG Att 1-19,Away FG Made 1-19,Away FG Pct 1-19,Away FG Att 20-29,Away FG Made 20-29,Away FG Pct 20-29,Away FG Att 30-39,Away FG Made 30-39,Away FG Pct 30-39,Away FG Att 40-49,Away FG Made 40-49,Away FG Pct 40-49,Away FG Att 50+,Away FG Made 50+,Away FG Pct 50+,Summary,Precip Intensity,Precip Probability,Precip Type,Temp,Apparent Temp,Humidity,Wind Speed,Wind Gust,Cloud Cover,UV Index,Visibility,Indoor
45944,1,2018-09-06,8:20PM,Lincoln Financial Field,PHI,ATL,18,12,30,232,299,531,27,113,21,2,2,35,20,119,50,53.5,0,1,18,6,1,1,100.0,0,0,0.0,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0.0,18,74,20,1,1,43,21,225,36,57.4,0,1,6,16,2,2,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,1,100.0,Partly Cloudy,0.0027,0.06,rain,81.35,85.2,0.7,2.92,4.52,0.56,0,10,False
45945,1,2018-09-09,1:00PM,M&T Bank Stadium,BAL,BUF,47,3,50,369,153,522,34,117,16,3,4,38,26,252,29,113.9,3,0,26,5,2,2,100.0,0,0,0.0,0,0,0.0,1,1,100.0,1,1,100.0,0,0,0.0,22,83,12,0,1,33,11,70,24,17.1,0,2,8,10,2,1,50.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,Light Rain,0.0371,0.46,rain,62.57,62.66,0.88,11.98,20.49,1,4,4.83,False
45946,1,2018-09-09,1:00PM,Lucas Oil Stadium,IND,CIN,23,34,57,380,330,710,22,75,12,0,1,53,39,305,26,93.2,2,1,24,2,4,3,75.0,0,0,0.0,1,1,100.0,1,1,100.0,0,0,0.0,2,1,50.0,20,101,27,1,2,28,21,229,38,109.7,2,1,2,19,2,2,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,Overcast,0.0004,0.3,rain,59.17,59.2,0.94,9.64,10.26,1,4,3.26,True
45947,1,2018-09-09,1:00PM,Gillette Stadium,NE,HOU,27,20,47,389,325,714,31,122,12,0,3,39,26,267,31,102.2,3,1,23,6,2,2,100.0,0,0,0.0,0,0,0.0,2,2,100.0,0,0,0.0,0,0,0.0,34,167,31,1,1,34,17,158,51,62.9,1,1,6,21,2,2,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,Mostly Cloudy,0,0,No Data,62.22,62.22,0.61,6.7,8.48,0.78,5,10,False
45948,1,2018-09-09,1:00PM,MetLife Stadium,NYG,JAX,15,20,35,324,305,629,23,114,68,1,1,37,23,210,34,67.8,0,1,15,5,3,3,100.0,0,0,0.0,1,1,100.0,1,1,100.0,1,1,100.0,0,0,0.0,28,137,41,0,0,33,18,168,31,67.2,1,1,7,17,2,2,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,Light Rain,0.0233,0.84,rain,58.85,58.85,0.86,4.75,5.52,1,4,8.95,False
45949,1,2018-09-09,1:00PM,FirstEnergy Stadium,CLE,PIT,21,21,42,327,472,799,38,177,20,2,1,40,15,150,39,51.8,1,1,22,12,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,0,0.0,35,159,22,2,3,41,23,313,67,60.5,1,3,7,25,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,Rain,0.1032,0.56,rain,59.36,59.36,0.92,4.75,8.27,1,4,2.3,False
45950,1,2018-09-09,1:00PM,US Bank Stadium,MIN,SF,24,16,40,343,327,670,32,116,23,0,1,36,20,227,34,95.1,2,0,19,6,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0.0,1,1,100.0,0,0,0.0,25,90,14,0,3,33,15,237,56,45.1,1,3,4,20,3,3,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,Clear,0,0,No Data,68.37,68.37,0.59,9.28,11.52,0.16,5,10,True
45951,1,2018-09-09,1:00PM,Mercedes-Benz Superdome,NO,TB,40,48,88,475,529,1004,13,43,10,2,2,45,37,432,35,129.5,3,0,26,3,1,1,100.0,0,0,0.0,0,0,0.0,1,1,100.0,0,0,0.0,0,0,0.0,34,112,23,1,1,28,21,417,58,156.2,4,0,1,26,3,2,66.7,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,Humid and Mostly Cloudy,0,0,No Data,88.27,97.12,0.63,1.49,2.73,0.62,6,10,True
45952,1,2018-09-09,1:00PM,Hard Rock Stadium,MIA,TEN,27,20,47,342,336,678,29,120,21,0,0,28,20,222,75,89.9,2,2,18,4,2,2,100.0,0,0,0.0,1,1,100.0,1,1,100.0,0,0,0.0,0,0,0.0,29,116,26,1,0,38,20,220,31,37.2,0,3,4,19,2,2,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,1,100.0,Humid and Mostly Cloudy,0,0,No Data,88.66,97.33,0.61,4.16,6.23,0.75,6,10,False
45953,1,2018-09-09,4:05PM,Dignity Health Sports Park,LAC,KC,28,38,66,541,362,903,22,123,19,0,2,51,34,418,30,103.7,3,1,33,3,3,2,66.7,0,0,0.0,0,0,0.0,1,1,100.0,2,1,50.0,0,0,0.0,27,106,27,0,0,27,15,256,58,127.5,4,0,5,19,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,Clear,0,0,No Data,85.35,85.35,0.43,5.19,7.95,0.01,9,8.13,False
45954,1,2018-09-09,4:25PM,Bank of America Stadium,CAR,DAL,16,8,24,293,232,525,32,147,29,2,2,26,17,146,19,82.4,0,0,20,6,1,1,100.0,0,0,0.0,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0.0,22,94,17,1,1,29,19,138,20,81.1,0,0,6,17,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,Mostly Cloudy,0,0,No Data,83.77,88.82,0.66,6.47,6.93,0.66,3,10,False
45955,1,2018-09-09,4:25PM,Broncos Stadium at Mile High,DEN,SEA,27,24,51,470,306,776,32,146,17,0,0,39,25,324,43,84.2,3,3,25,6,2,2,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2,2,100.0,16,64,24,0,3,33,19,242,66,92.7,3,2,6,13,2,1,50.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,Clear,0,0,No Data,85.18,85.18,0.15,3.7,11.93,0.16,6,3.91,False
45956,1,2018-09-09,4:25PM,State Farm Stadium,ARI,WAS,6,24,30,213,429,642,15,68,11,1,1,34,20,145,27,57.6,0,1,14,5,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,42,182,17,1,3,30,21,247,52,118.1,2,0,4,30,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,Clear,0,0,No Data,100.84,100.84,0.23,3.09,8.34,0.12,8,10,True
45957,1,2018-09-09,8:20PM,Lambeau Field,GB,CHI,24,23,47,373,293,666,18,69,15,0,2,37,24,304,75,110.3,3,1,16,4,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0.0,1,1,100.0,0,0,0.0,27,139,16,1,2,35,23,154,33,77.2,0,0,4,18,3,3,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,Clear,0,0,No Data,60.07,60.07,0.65,4.81,5.92,0,0,10,False
45958,1,2018-09-10,7:10PM,Ford Field,DET,NYJ,17,48,65,339,349,688,15,39,9,0,0,52,29,300,28,39.4,1,5,21,3,3,1,33.3,0,0,0.0,1,1,100.0,0,0,0.0,1,0,0.0,1,0,0.0,36,169,62,2,1,21,16,180,41,116.8,2,1,3,17,2,2,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,Overcast,0,0,No Data,63.56,63.56,0.81,7.94,8.28,1,0,10,True
45959,1,2018-09-10,10:20PM,Oakland-Alameda County Coliseum,OAK,LA,13,33,46,395,365,760,23,95,13,1,0,40,29,300,45,62.8,0,3,20,4,2,2,100.0,0,0,0.0,1,1,100.0,0,0,0.0,1,1,100.0,0,0,0.0,26,140,23,0,1,33,18,225,30,97.2,2,0,2,23,5,4,80.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,1,100.0,Clear,0,0,No Data,71.17,71.17,0.48,5.04,8.12,0.05,0,10,False
45960,2,2018-09-13,8:20PM,Paul Brown Stadium,CIN,BAL,34,23,57,373,425,798,28,108,21,0,1,42,24,265,32,107.7,4,0,24,6,2,2,100.0,0,0,0.0,1,1,100.0,0,0,0.0,1,1,100.0,0,0,0.0,22,66,14,1,2,55,32,359,45,76.0,2,2,3,28,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,1,100.0,Clear,0,0,No Data,75.92,76.76,0.76,0.23,2.04,0,0,6.34,False
