Team,Wins,Losses,Ties,Points For,Points Against,Point Differential,Total Yards,Total TDs,Passing Attempts,Passing Completions,Passing Yards,Passing TDs,Interceptions Thrown,Rush Attempts,Rush Yards,Rush TDs,Fumbles,Fumbles Lost,Fumbles Forced,FG Attempts,FG Made,Interceptions Made,Punts
NO,13,3,0,504,353,151,6055,59,516,380,4072,33,7,471,2010,26,19,10,19,30,28,11,43
LA,13,3,0,523,386,137,6739,57,569,368,4505,32,13,457,2223,23,16,7,13,41,34,18,42
KC,12,4,0,561,419,142,6761,67,583,385,4955,50,12,386,1809,16,18,6,25,27,24,15,45
LAC,12,4,0,422,329,93,5950,49,512,348,4089,32,12,399,1863,16,17,7,8,29,24,13,61
CHI,12,4,0,421,283,138,5494,45,511,343,3577,28,14,467,1917,16,21,10,18,30,23,27,62
NE,11,5,0,430,325,105,6323,49,573,377,4260,29,11,478,2039,18,11,7,15,32,27,18,64
HOU,11,5,0,402,316,86,5801,39,506,345,3795,26,9,472,2016,12,18,7,21,42,37,15,74
IND,10,6,0,433,342,91,6213,52,643,432,4487,39,14,408,1726,13,18,9,14,27,23,15,57
SEA,10,6,0,428,347,81,5643,51,414,280,3098,35,7,536,2552,15,18,4,20,27,22,11,79
BAL,10,6,0,383,287,96,6010,40,556,334,3560,18,9,548,2450,19,27,11,9,39,35,12,61
DAL,10,6,0,339,324,15,5451,36,527,356,3537,22,7,439,1941,13,23,10,15,36,29,9,60
PIT,9,6,1,424,362,62,6472,52,688,458,5015,35,17,346,1445,16,23,10,13,23,16,8,64
TEN,9,7,0,306,301,5,4990,31,437,293,2982,16,12,453,2008,15,18,7,10,30,26,11,75
PHI,9,7,0,367,348,19,5872,41,598,422,4271,29,10,399,1565,12,27,12,11,31,26,11,61
MIN,8,7,1,360,341,19,5530,41,606,425,3998,30,10,354,1464,9,15,10,7,32,22,12,71
CLE,7,8,1,357,392,-35,5901,44,574,353,4015,29,17,410,1886,15,19,8,18,25,19,17,84
ATL,7,9,0,414,423,-9,6239,48,617,428,4678,36,7,353,1558,11,27,12,8,26,25,15,60
WAS,7,9,0,281,359,-78,4795,29,509,311,3021,16,15,414,1774,12,18,4,20,29,26,15,79
CAR,7,9,0,376,382,-6,5958,46,563,378,3836,28,16,415,2122,17,20,6,12,21,19,13,61
MIA,7,9,0,307,433,-126,4660,33,455,292,2886,26,13,371,1738,7,17,10,10,20,18,21,88
GB,6,9,1,378,398,-20,5633,40,621,373,4056,25,4,332,1666,14,19,11,8,37,30,7,72
DEN,6,10,0,329,349,-20,5597,37,588,367,3710,19,15,394,1898,18,17,6,15,25,20,17,85
BUF,6,10,0,267,374,-107,4800,29,500,271,2762,13,23,470,1970,15,23,8,21,28,22,16,78
DET,6,10,0,324,360,-36,5231,33,574,375,3572,22,12,404,1666,11,13,7,11,32,28,7,73
CIN,6,10,0,368,455,-87,4966,42,543,331,3288,27,13,359,1678,13,12,4,12,23,19,12,71
NYG,5,11,0,369,412,-43,5749,36,583,382,4046,23,12,354,1625,13,15,7,11,33,32,16,70
JAX,5,11,0,235,320,-85,4864,22,536,329,3125,15,13,416,1723,7,26,16,9,26,23,11,85
TB,5,11,0,398,462,-64,6660,49,624,407,5122,36,26,389,1515,11,22,9,12,27,20,9,58
SF,4,12,0,334,433,-99,5732,33,532,331,3852,26,20,423,1873,7,29,12,9,34,33,2,68
NYJ,4,12,0,323,439,-116,4777,29,516,299,3185,18,19,409,1611,11,23,11,13,36,33,13,81
OAK,4,12,0,284,467,-183,5275,28,555,382,3875,19,10,387,1628,9,22,15,5,32,27,14,70
ARI,3,13,0,225,423,-198,3863,27,495,283,2519,15,18,355,1343,9,23,10,14,17,12,7,94
