Game ID,Summary,Precip Intensity,Precip Probability,Precip Type,Temp,Apparent Temp,Humidity,Wind Speed,Wind Gust,Cloud Cover,UV Index,Visibility
45944,Partly Cloudy,0.0027,0.06,rain,81.35,85.2,0.7,2.92,4.52,0.56,0,10
45945,Light Rain,0.0371,0.46,rain,62.57,62.66,0.88,11.98,20.49,1,4,4.83
45946,Overcast,0.0004,0.3,rain,59.17,59.2,0.94,9.64,10.26,1,4,3.26
45947,Mostly Cloudy,0,0,No Data,62.22,62.22,0.61,6.7,8.48,0.78,5,10
45948,Light Rain,0.0233,0.84,rain,58.85,58.85,0.86,4.75,5.52,1,4,8.95
45949,Rain,0.1032,0.56,rain,59.36,59.36,0.92,4.75,8.27,1,4,2.3
45950,Clear,0,0,No Data,68.37,68.37,0.59,9.28,11.52,0.16,5,10
45951,Humid and Mostly Cloudy,0,0,No Data,88.27,97.12,0.63,1.49,2.73,0.62,6,10
45952,Humid and Mostly Cloudy,0,0,No Data,88.66,97.33,0.61,4.16,6.23,0.75,6,10
45953,Clear,0,0,No Data,85.35,85.35,0.43,5.19,7.95,0.01,9,8.13
45954,Mostly Cloudy,0,0,No Data,83.77,88.82,0.66,6.47,6.93,0.66,3,10
45955,Clear,0,0,No Data,85.18,85.18,0.15,3.7,11.93,0.16,6,3.91
45956,Clear,0,0,No Data,100.84,100.84,0.23,3.09,8.34,0.12,8,10
45957,Clear,0,0,No Data,60.07,60.07,0.65,4.81,5.92,0,0,10
45958,Overcast,0,0,No Data,63.56,63.56,0.81,7.94,8.28,1,0,10
45959,Clear,0,0,No Data,71.17,71.17,0.48,5.04,8.12,0.05,0,10
45960,Clear,0,0,No Data,75.92,76.76,0.76,0.23,2.04,0,0,6.34
45961,Clear,No Data,No Data,rain,79.2,81.88,0.72,5.91,10.48,No Data,No Data,3.04
45962,Humid,No Data,No Data,rain,91.06,103.1,0.61,1.78,2.77,No Data,No Data,10
45963,Clear,No Data,No Data,rain,81.59,84.75,0.65,7.42,7.42,No Data,No Data,10
45964,Clear,No Data,No Data,rain,73.86,74.77,0.81,5.59,8.3,No Data,No Data,7.72
45965,Clear,No Data,No Data,rain,79.61,81.7,0.64,7.35,7.91,No Data,No Data,10
45966,Clear,No Data,No Data,rain,79.92,82.73,0.69,2.42,5.64,No Data,No Data,10
45967,Clear,No Data,No Data,rain,82.87,85.17,0.57,3.56,4.82,No Data,No Data,10
45968,Clear,No Data,No Data,rain,78.16,79.01,0.71,5.24,5.43,No Data,No Data,10
45969,Humid,No Data,No Data,rain,89.45,100.73,0.64,8.73,9.63,No Data,No Data,10
45970,Clear,0,0,No Data,85.64,85.64,0.25,4.78,10.01,0,8,10
45971,Clear,0,0,No Data,72.62,72.62,0.38,5.07,12.1,0.01,7,10
45972,Clear,0,0,No Data,90.74,90.74,0.13,3.48,10.78,0.17,6,3.63
45973,Humid and Mostly Cloudy,0,0,No Data,93.81,104.04,0.52,7.99,8.91,0.75,3,10
45974,Partly Cloudy,0,0,No Data,87.31,93.05,0.58,2.47,3.04,0.29,0,10
45975,Clear,0,0,No Data,80.77,82.8,0.6,2.48,2.8,0.15,0,10
45976,Humid,0,0,No Data,78.91,82.05,0.81,3.7,4.58,0.06,0,2.53
45977,Clear,0,0,No Data,69.02,69.02,0.56,6.2,6.54,0.04,5,10
45978,Mostly Cloudy,0,0,No Data,81.77,85.12,0.66,1.73,4.18,0.67,5,9.18
45979,Drizzle,0.0102,0.39,rain,62.65,63.02,0.94,4.98,6.51,1,4,5.27
45980,Drizzle,0.0175,0.42,rain,63.24,63.71,0.95,4.57,5.85,1,4,4.5
45981,Light Rain,0.0239,0.82,rain,61.28,61.55,0.94,3.73,3.97,0.99,4,8.41
45982,Partly Cloudy,0,0,No Data,85.07,86.82,0.51,3.32,7.8,0.47,6,3.94
45983,Mostly Cloudy,0,0,No Data,79.16,81.8,0.72,7.18,7.23,0.71,5,10
45984,Humid and Partly Cloudy,0,0,No Data,88.94,97.04,0.6,6.98,7.33,0.31,8,10
45985,Clear,0,0,No Data,72.78,72.78,0.54,4.98,5.11,0,6,10
45986,Mostly Cloudy,0,0,No Data,87.54,93.32,0.58,5.41,7.32,0.75,5,10
45987,Clear,0,0,No Data,79.6,79.6,0.49,4.58,9.16,0.04,7,9.73
45988,Clear,0,0,No Data,100.23,100.23,0.12,4.92,10.84,0.13,7,10
45989,Partly Cloudy,0,0,No Data,62.81,62.81,0.52,1.94,3.86,0.54,4,5
45990,Clear,0,0,No Data,63.82,63.82,0.62,5.21,5.38,0.03,0,10
45991,Light Rain,0.072,0.64,rain,77.75,79.36,0.88,3.08,4.36,0.81,0,9.59
45992,Clear,0,0,No Data,83.44,83.44,0.44,3.41,7.33,0.1,1,9.22
45993,Overcast,0,0,No Data,48.37,46.51,0.8,4.66,6.29,1,3,9.45
45994,Overcast,0,0,No Data,76.59,77.8,0.82,4.13,6.72,1,4,3.99
45995,Mostly Cloudy,0,0,No Data,79.25,81.74,0.69,6.82,7.34,0.81,4,10
45996,Clear,0,0,No Data,75.58,75.7,0.61,7.35,8.37,0,6,10
45997,Clear,0,0,No Data,66.53,66.53,0.45,3.28,5.11,0.04,5,10
45998,Humid and Mostly Cloudy,0,0,No Data,86.88,95.65,0.67,10.09,10.3,0.74,5,9.65
45999,Clear,0,0,No Data,80.79,82.55,0.58,0.05,0.31,0.14,6,10
46000,Overcast,0.0004,0.04,rain,64.71,64.71,0.74,1.42,5.57,0.96,3,10
46001,Clear,0,0,No Data,71.46,71.46,0.54,2.58,7.94,0.2,6,10
46002,Partly Cloudy,0,0,No Data,94.29,94.29,0.25,4.8,7.74,0.37,6,10
46003,Partly Cloudy,0,0,No Data,69.64,69.64,0.56,4.61,6.06,0.5,1,10
46004,Partly Cloudy,0,0,No Data,82.08,82.08,0.39,4.96,8.32,0.31,6,10
46005,Clear,0,0,No Data,66.08,66.08,0.74,0,0,0.06,0,10
46006,Mostly Cloudy,0,0,No Data,65.36,65.36,0.47,2.37,6.5,0.8,0,3.56
46007,Mostly Cloudy,0,0,No Data,66.88,67.52,0.9,3.03,4.68,0.74,0,10
46008,Partly Cloudy,0,0,No Data,82.46,86.5,0.67,6.02,6.1,0.3,5,10
46009,Foggy,0,0,No Data,70.05,71.12,0.93,2.21,3.63,1,3,0.65
46010,Overcast,0,0,No Data,75.76,76.74,0.79,4.36,5.08,0.97,3,10
46011,Overcast,0,0,No Data,60.76,60.76,0.84,7.59,8.1,1,3,9.42
46012,Light Rain,0.0394,0.78,rain,58.09,58.14,0.97,2.97,3.95,1,3,6.8
46013,Clear,0,0,No Data,86.17,89.06,0.53,2.67,3.88,0,5,6.2
46014,Overcast,0,0,No Data,80.02,83.64,0.75,1.04,1.96,1,4,8.42
46015,Overcast,0,0,No Data,59.94,59.94,0.91,9.35,9.8,1,3,4.03
46016,Clear,0,0,No Data,74.13,74.13,0.58,5.62,8.62,0.21,6,10
46017,Clear,0,0,No Data,76.75,76.75,0.2,9.11,17.79,0.1,5,10
46018,Overcast,0.0018,0.25,rain,54.48,54.48,0.8,3.31,3.97,1,2,5.02
46019,Mostly Cloudy,0,0,No Data,78.64,79.88,0.78,3.05,4.36,0.73,1,10
46020,Humid and Partly Cloudy,0,0,No Data,81.41,86.42,0.75,6.46,6.74,0.5,0,10
46021,Light Rain,0.0357,0.57,rain,77.37,78.83,0.85,5.12,7.06,1,0,7.86
46022,Light Rain,0.0216,0.76,rain,70.07,71.31,0.96,2,2.94,0.87,0,8.17
46023,Clear,No Data,No Data,snow,33.3,27.03,0.9,7.04,No Data,No Data,No Data,No Data
46024,Clear,No Data,No Data,rain,54.15,54.15,0.78,0.21,No Data,No Data,No Data,No Data
46025,Humid,No Data,No Data,rain,88.15,98.47,0.66,7.5,No Data,No Data,No Data,No Data
46026,Clear,No Data,No Data,rain,57.13,57.13,0.55,5.02,No Data,No Data,No Data,No Data
46027,Clear,No Data,No Data,rain,50.83,50.83,0.93,No Data,No Data,No Data,No Data,No Data
46028,Clear,No Data,No Data,rain,87.08,93.17,0.6,9.44,No Data,No Data,No Data,No Data
46029,Clear,No Data,No Data,rain,55.29,55.29,0.55,1.24,No Data,No Data,No Data,No Data
46030,Clear,No Data,No Data,rain,51.89,51.89,0.89,2.62,No Data,No Data,No Data,No Data
