,Game ID,Week,Date,Time (EST),Time (GMT),Excel (human readable time/date),Unix Time,Lat,Lng,Location,Home Team,Away Team,Home Team Won?,Home Score,Away Score,Total Points,Summary,Wind Speed,Wind Gust,Temperature
0,45944,1,9/6/2018,8:20 PM,1:20 AM,9/6/2018 20:20,1536265200,39.900833,-75.1675,Lincoln Financial Field,PHI,ATL,Yes,18,12,30,Partly Cloudy,5.24,8.5,92.84
1,45945,1,9/9/2018,1:00 PM,6:00 PM,9/9/2018 13:00,1536498000,39.278056,-76.622778,M&T Bank Stadium,BAL,BUF,Yes,47,3,50,Rain,10.31,19.46,59.46
2,45947,1,9/9/2018,1:00 PM,6:00 PM,9/9/2018 13:00,1536498000,42.090944,-71.264344,Gillette Stadium,NE,HOU,Yes,27,20,47,Clear,5.99,7.01,57.08
3,45948,1,9/9/2018,1:00 PM,6:00 PM,9/9/2018 13:00,1536498000,40.813528000000005,-74.074361,MetLife Stadium,NYG,JAX,No,15,20,35,Drizzle,5.96,6.31,56.87
4,45949,1,9/9/2018,1:00 PM,6:00 PM,9/9/2018 13:00,1536498000,41.506111,-81.699444,FirstEnergy Stadium,CLE,PIT,No,21,21,42,Rain,5.36,9.49,56.1
5,45952,1,9/9/2018,1:00 PM,6:00 PM,9/9/2018 13:00,1536498000,25.958056,-80.238889,Hard Rock Stadium,MIA,TEN,Yes,27,20,47,Humid,3.69,3.87,80.86
6,45954,1,9/9/2018,4:25 PM,9:25 PM,9/9/2018 16:25,1536510300,35.225833,-80.852778,Bank of America Stadium,CAR,DAL,Yes,16,8,24,Mostly Cloudy,4.04,4.99,81.91
7,45957,1,9/9/2018,8:20 PM,1:20 AM,9/9/2018 20:20,1536524400,44.501389,-88.06222199999999,Lambeau Field,GB,CHI,Yes,24,23,47,Clear,7.77,8.08,65.68
8,45959,1,9/10/2018,10:20 PM,3:20 AM,9/10/2018 22:20,1536618000,37.751667,-122.200556,Oakland-Alameda County Coliseum,OAK,LA,No,13,33,46,Clear,6.28,9.94,80.32
9,45960,2,9/13/2018,8:20 PM,1:20 AM,9/13/2018 20:20,1536870000,39.095,-84.516,Paul Brown Stadium,CIN,BAL,Yes,34,23,57,Clear,1.5,2.98,85.86
10,45963,2,9/16/2018,1:00 PM,6:00 PM,9/16/2018 13:00,1537102800,36.166389,-86.771389,Nissan Stadium,TEN,HOU,Yes,20,17,37,Clear,4.68,5.34,74.61
11,45965,2,9/16/2018,1:00 PM,6:00 PM,9/16/2018 13:00,1537102800,40.446667,-80.015833,Heinz Field,PIT,KC,No,37,42,79,Clear,6.04,6.04,71.06
12,45966,2,9/16/2018,1:00 PM,6:00 PM,9/16/2018 13:00,1537102800,42.773999999999994,-78.78699999999999,New Era Field,BUF,LAC,No,20,31,51,Clear,2.73,2.86,70.16
13,45967,2,9/16/2018,1:00 PM,6:00 PM,9/16/2018 13:00,1537102800,40.813528000000005,-74.074361,MetLife Stadium,NYJ,MIA,No,12,20,32,Clear,0.17,0.47,70.8
14,45968,2,9/16/2018,1:00 PM,6:00 PM,9/16/2018 13:00,1537102800,44.501389,-88.06222199999999,Lambeau Field,GB,MIN,No,29,29,58,Clear,0,0.25,63.32
15,45969,2,9/16/2018,1:00 PM,6:00 PM,9/16/2018 13:00,1537102800,27.975833,-82.503333,Raymond James Stadium,TB,PHI,Yes,27,21,48,Humid and Partly Cloudy,4.89,5.03,83.97
16,45970,2,9/16/2018,4:05 PM,9:05 PM,9/16/2018 16:05,1537113900,34.014167,-118.287778,Los Angeles Memorial Coliseum,LA,ARI,Yes,34,0,34,Clear,1.63,4.48,73.89
17,45971,2,9/16/2018,4:05 PM,9:05 PM,9/16/2018 16:05,1537113900,37.403,-121.97,Levi's Stadium,SF,DET,Yes,30,27,57,Clear,0.6,7.21,60.82
18,45975,2,9/17/2018,8:15 PM,1:15 AM,9/17/2018 20:15,1537215300,41.8623,-87.6167,Soldier Field,CHI,SEA,Yes,24,17,41,Partly Cloudy,1.68,4.62,87.7
19,45976,3,9/20/2018,8:20 PM,1:20 AM,9/20/2018 20:20,1537474800,41.506111,-81.699444,FirstEnergy Stadium,CLE,NYJ,Yes,21,17,38,Drizzle,2.6,4.2,83.54
20,45978,3,9/23/2018,1:00 PM,6:00 PM,9/23/2018 13:00,1537707600,35.225833,-80.852778,Bank of America Stadium,CAR,CIN,Yes,31,21,52,Partly Cloudy,0.88,1.57,72.62
21,45979,3,9/23/2018,1:00 PM,6:00 PM,9/23/2018 13:00,1537707600,39.278056,-76.622778,M&T Bank Stadium,BAL,DEN,Yes,27,14,41,Drizzle,3.01,4.09,60.22
22,45981,3,9/23/2018,1:00 PM,6:00 PM,9/23/2018 13:00,1537707600,39.900833,-75.1675,Lincoln Financial Field,PHI,IND,Yes,20,16,36,Drizzle,3.78,3.92,59.42
